task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
424	87/4cfd9e	1202317	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.363	9.8s	8.4s	248.2%	767.7 MB	104.9 GB	53.3 MB	2.4 MB
423	e6/17b676	1202318	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.387	9.7s	6.2s	293.2%	94 MB	8.2 GB	44.3 MB	714.1 KB
421	47/df0697	1202319	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.417	9.7s	5s	403.6%	90.3 MB	8.2 GB	41.4 MB	102.6 KB
429	34/43ea63	1202323	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_3)	COMPLETED	0	2024-11-07 17:54:43.687	9.4s	5.3s	379.8%	308.9 MB	40.5 GB	41.4 MB	107.6 KB
426	98/de788e	1202320	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.450	9.7s	6.9s	328.2%	1006.3 MB	104.9 GB	48.9 MB	925.3 KB
427	7d/638561	1202321	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_3)	COMPLETED	0	2024-11-07 17:54:43.483	9.6s	5.8s	373.7%	649 MB	104.9 GB	42.2 MB	273.5 KB
428	73/fd3a24	1202322	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.507	9.6s	5.4s	390.4%	850.3 MB	72.7 GB	42.2 MB	259.9 KB
432	ab/0125e8	1202325	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.738	9.4s	5.3s	249.8%	253.3 MB	40.5 GB	41.6 MB	133 KB
433	f9/6a2e78	1202324	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.712	9.4s	5.2s	233.8%	218.2 MB	32.4 GB	41.7 MB	136.7 KB
431	b6/eae5a7	1202326	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.763	9.4s	5.2s	268.9%	121.8 MB	8.3 GB	41.4 MB	92.5 KB
438	59/a9cc65	1202328	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_3)	COMPLETED	0	2024-11-07 17:54:43.812	9.3s	5.1s	309.5%	86 MB	8.2 GB	41.8 MB	149.3 KB
